タイトル名,評価,視聴数,制作会社,声優,主題歌・挿入歌,あらすじ
ダンダダン（2024年製作のアニメ）,4.2,3792,サイエンス SARU,"['若山詩音', '花江夏樹', '水樹奈々', '佐倉綾音', '石川界人', '田中真弓', '中井和哉']","['Creepy Nuts', 'ずっと真夜中でいいのに。']",圧倒的怪奇との遭遇！オカルティックバトル＆青春物語、開幕！！
チ。 ―地球の運動について―（2024年製作のアニメ）,4.2,2803,マッドハウス,"['坂本真綾', '津田健次郎', '速水奨', '小西克幸', '中村悠一']","['サカナクション', 'ヨルシカ']","15世紀のヨーロッパ某国。飛び級で大学への進学を認められた神童・ラファウ。
彼は周囲の期待に応え、当時最も重要とされていた神学を専攻すると宣言。
が、以前から熱心に打ち込んでいる天文への情熱は捨てられずにいた。
ある日、彼はフベルトという謎めいた学者と出会う。
異端思想に基づく禁忌に触れたため拷問を受け、投獄されていたというフベルト。
彼が研究していたのは、宇宙に関する衝撃的な「ある仮説」だった…"
【推しの子】第2期（2024年製作のアニメ）,4.0,8116,動画工房,"['大塚剛央', '伊駒ゆりえ', '潘めぐみ', '石見舞菜香', '大久保瑠美', '内山昂輝', '前田誠二']","['中島健人', 'キタニタツヤ', '羊文学']",新たな舞台の幕が開く──
葬送のフリーレン（2023年製作のアニメ）,4.3,22860,マッドハウス,"['種﨑敦美', '市ノ瀬加那', '小林千晃', '岡本信彦', '東地宏樹']","['YOASOBI', 'milet', 'ヨルシカ']",勇者ヒンメルたちと共に、10年に及ぶ冒険の末に魔王を打ち倒し、世界に平和をもたらした魔法使いフリーレン。
アオのハコ（2024年製作のアニメ）,4.0,1273,テレコム・アニメーションフィルム,"['千葉翔也', '上田麗奈', '鬼頭明里', '小林千晃', '内田雄馬', '坂田将吾', '永瀬アンナ']","['Official髭男dism', 'Eve']",毎朝一番に会いたい人がいる――
来世は他人がいい（2024年製作のアニメ）,3.6,893,スタジオディーン,"['上田瞳', '石田彰', '遊佐浩二', '上田燿司', '中井和哉', '竹内良太', '下崎紘史']","['THE ORAL CIGARETTES', '吉乃']",はみ出しものたちが織りなす極道エンタメ
怪獣8号（2024年製作のアニメ）,4.0,11077,PRODUCTION I.G,"['福西勝也', '瀬戸麻沙美', '加藤渉', 'ファイルーズあい', '河西健吾', '新祐樹', '河本啓佑']","['YUNGBLUD', 'OneRepublic']",怪獣（ヒーロー）、襲来。
薬屋のひとりごと（2023年製作のアニメ）,4.1,21185,TOHO animation STUDIO,"['悠木碧', '大塚剛央', '小西克幸', '種﨑敦美', '石川由依']","['緑黄色社会', 'Uru', 'アイナ・ジ・エンド', 'wacci', 'アオイエマ。', 'XAI']",大陸の中央に位置するとある大国。その国の帝の妃たちが住む後宮に一人の娘がいた。
呪術廻戦 第1期（2020年製作のアニメ）,4.1,53858,MAPPA,"['榎木淳弥', '内田雄馬', '瀬戸麻沙美', '小松未可子', '内山昂輝', '関智一', '木村昴']","['Eve', 'ALI', 'AKLO', 'Cö shu Nie', 'Who-ya Extended']",少年は戦う――「正しい死」を求めて
呪術廻戦 第1期（2020年製作のアニメ）,4.1,53858,MAPPA,"['ヘイリー・スタインフェルド', 'ケイティ・ルング', 'ケヴィン・アレハンドロ', 'エラ・パーネル', 'リード・シャノン', 'アミラー・ヴァン', 'ミック・ウィンガート']","['クリスチャン・リンク', 'アレックス・イー']",少年は戦う――「正しい死」を求めて
逃げ上手の若君（2024年製作のアニメ）,4.0,5296,CloverWorks,"['結川あさき', '矢野妃菜喜', '日野まり', '鈴代紗弓', '悠木碧', '戸谷菊之介', '中村悠一']","['DISH//', 'ぼっちぼろまる']",勝つまで逃げよ
ヴァイオレット・エヴァーガーデン（2018年製作のアニメ）,4.4,33933,京都アニメーション,"['石川由依', '子安武人', '浪川大輔', '遠藤綾', '内山昂輝', '茅原実里', '戸松遥']","['唐沢美帆（TRUE）', '茅原実里']","感情を持たない一人の少女がいた。
彼女の名は、ヴァイオレット・エヴァーガーデン。
戦火の中で、大切な人から告げられた言葉の意味を探している。
戦争が終わり、彼女が出会った仕事は誰かの想いを言葉にして届けること。
――戦争で生き延びた、たった一人の兄弟への手紙
――都会で働き始めた娘から故郷の両親への手紙
――飾らないありのままの恋心をつづった手紙
――去りゆく者から残される者への最期の手紙
手紙…"
HUNTER×HUNTER（2011年製作のアニメ）,4.5,13876,マッドハウス,"['潘めぐみ', '伊瀬茉莉也', '藤原啓治', '沢城みゆき', '浪川大輔', '山寺宏一', '内山昂輝']","['小野正利', 'Fear, and Loathing in Las Vegas', 'ゆず']",くじら島で暮らす少年・ゴンの夢は、幼い頃に別れた父と同じ「ハンター」になること。 世界中に散らばる、財宝、秘宝、珍品、珍獣……「未知」への挑戦に命を賭けるプロハンターになる決意を胸に旅立つゴンは、同じハンター試験合格を目指す受験者のクラピカ、レオリオ、キルアと出会う。超難関で知られるハンター試験を見事突破し、「世界一のハンター」になれるのか!?　ゴンの奇想天外、壮大苛烈な冒険の旅が、今始まる!!
進撃の巨人 Season1（2013年製作のアニメ）,4.4,38199,WIT STUDIO,"['梶裕貴', '石川由依', '井上麻里奈', '小林ゆう', '三上枝織']","['Linked Horizon', '日笠陽子', 'cinema staff']","巨人がすべてを支配する世界。
巨人の餌と化した人類は高さ50メートルの巨大な壁を築き、壁外への自由と引き換えに侵略を防いでいた･･･。
まだ見ぬ壁外の世界を夢見る10歳の少年、エレン･イェーガー。
エレンは仮初めの平和に満足し外の世界へ出ることを諦めた人々に違和感を覚える。
彼らを「家畜」と呼ぶエレン。
エレンを「異物」と感じる人々。
だが、壁をも越える超大型巨人の出現により、エレンの「夢」も人…"
サマータイムレンダ（2022年製作のアニメ）,4.2,28123,OLM,"['花江夏樹', '永瀬アンナ', '白砂沙帆', '日笠陽子', '浦山迅']","['マカロニえんぴつ', 'cadode', '亜咲花', 'りりあ。']","「潮が死んだ―――。」
幼馴染・小舟潮の訃報を聞いた網代慎平は、
2 年ぶりに故郷である和歌山市・日都ヶ島に帰ってきた。
家族や友人との再会。滞りなく行われていく葬儀。
しかし、親友・菱形窓は「潮の死には不審な点があり、他殺の可能性がある」と慎平に告げる。
翌日、近隣の一家が突如として全員消えてしまう事件が発生。
時を同じくして、慎平はある不吉な噂を耳にする。
「自分にそっくりな“影”を見た者は…"
チェンソーマン（2022年製作のアニメ）,4.1,35360,MAPPA,"['戸谷菊之介', '井澤詩織', '楠木ともり', '坂田将吾', 'ファイルーズあい', '伊瀬茉莉也', '高橋花林']","['米津玄師', 'マキシマム ザ ホルモン', 'あの', 'Eve', 'Aimer', 'Kanaria', 'syudou', '女王蜂', 'ずっと真夜中でいいのに。', 'TK from 凛として時雨', 'TOOBOE', 'Vaundy', 'PEOPLE 1']",少年デンジは『チェンソーの悪魔』ポチタと契約し、悪魔の心臓を持つ『チェンソーマン』として蘇る──
僕のヒーローアカデミア 第7期（2024年製作のアニメ）,4.4,5282,ボンズ,"['山下大輝', '岡本信彦', '佐倉綾音', '石川界人', '梶裕貴', '内山昂輝', '下野紘']","['TK from 凛として時雨', '優里', 'Omoinotake', 'ざらめ']",決戦の時が、来た。
らんま 1/2（2024年製作のアニメ）,4.1,952,MAPPA,"['山口勝平', '林原めぐみ', '日髙のり子', '高山みなみ', '井上喜久子', '大塚明夫', 'チョー']","['あの', 'りりあ。']","早乙女乱馬と、天道道場三女の天道あかねは親が決めた許婚同士。
しかし乱馬にはある悩みが…。
中国での修行中、伝説の修行場「呪泉郷」に落ちてしまい、
水をかぶると女に、お湯をかぶると男に戻るという、不思議な体質になってしまっていた！？
乱馬とあかね、そして個性豊かなキャラクターたちが繰り広げるドタバタ格闘ラブコメディー、ここに開幕！"
【推しの子】（2023年製作のアニメ）,4.1,30293,動画工房,"['高橋李依', '大塚剛央', '伊駒ゆりえ', '潘めぐみ', '石見舞菜香']","['YOASOBI', '女王蜂']","「この芸能界（せかい）において嘘は武器だ」地方都市で働く産婦人科医・ゴロー。ある日""推し""のアイドル「B 小町」のアイが彼の前に現れた。彼女はある禁断の秘密を抱えており…。そんな二人の""最悪""の出会いから、運命が動き出していく―。"
鬼滅の刃 柱稽古編（2024年製作のアニメ）,4.1,11059,ufotable,"['花江夏樹', '鬼頭明里', '下野紘', '松岡禎丞', '櫻井孝宏', '小西克幸', '河西健吾']","['MY FIRST STORY', 'HYDE']",想いを繋ぎ、受け継ぐ者――
鬼滅の刃 柱稽古編（2024年製作のアニメ）,4.1,11059,ufotable,"['入野自由', '茅野愛衣', '戸松遥', '櫻井孝宏', '早見沙織', '近藤孝行']","['Galileo Galilei', '茅野愛衣', '戸松遥', '早見沙織']",想いを繋ぎ、受け継ぐ者――
鬼滅の刃 柱稽古編（2024年製作のアニメ）,4.1,11059,ufotable,"['花江夏樹', '鬼頭明里', '下野紘', '松岡禎丞', '櫻井孝宏', '大塚芳忠', '梶裕貴']","['LiSA', 'FictionJunction']",想いを繋ぎ、受け継ぐ者――
リコリス・リコイル（2022年製作のアニメ）,4.1,20844,A-1 Pictures,"['安済知佳', '若山詩音', '小清水亜美', '久野美咲', 'さかき孝輔']","['さユり', 'ClariS']","平穏な日々――その裏には秘密がある
犯罪を未然に防ぐ秘密組織――「DA（Direct Attack）」。
そのエージェントである少女たち――「リコリス」。
当たり前の日常も、彼女たちのおかげ。
歴代最強のリコリスと称されるエリート・錦木千束、優秀だけどワケありリコリス・井ノ上たきなが働く喫茶「リコリコ」もその支部のひとつ。
ここが受けるオーダーは、コーヒーやスイーツの注文から、こどものお世話、買…"
僕のヒーローアカデミア 第1期（2016年製作のアニメ）,4.2,29762,ボンズ,"['山下大輝', '岡本信彦', '佐倉綾音', '石川界人', '梶裕貴', '悠木碧', '広橋涼']","['ポルノグラフィティ', 'Brian the Sun']","ことの始まりは中国・軽慶市から発信された、「発光する赤児」が生まれたというニュース。以後各地で「超常」が発見され、原因も判然としないまま時は流れる――。世界総人口の八割が何らかの特異体質である超人社会となった現在。生まれ持った超常的な力""個性""を悪用する犯罪者・敵（ヴィラン）が増加の一途をたどる中、同じく""個性""を持つ者たちが""ヒーロー""として敵や災害に立ち向かい、人々を救（たす）ける社会が確立…"
